ciudad,pais,lat,lon
Valdenebro,España,41.57103,-2.964019
Hueva,España,40.46245,-2.960818
Le Plessis-Grammoire,Francia,47.5004506,-0.4308085
Berdejo,España,41.56099,-1.944459
Moulismes,Francia,46.3301529,0.8118828
Habay,Bélgica,49.7356402,5.592928298869271
Chaville,France,48.8086,2.1886
Taden,Francia,48.4751525,-2.0165093
Sainte-Euphémie,Francia,45.9726012,4.7958364
Schilde,Belgium,51.2333,4.5667
Oliete,España,40.99805,-0.6744237
Escot,Reino Unido,56.7861112,-4.1140518
Les Chères,Francia,45.8901601,4.7432881
Piacenza,Italy,45.05,9.7
Unna,Germany,51.5347,7.6889
Althengstett,Germany,48.7233,8.7939
Huéneja,España,37.17693,-2.948596
Le Val-d'Ajol,Francia,47.9256946,6.4836408
Vícar,España,36.83145,-2.642515
Tomblaine,France,48.6856,6.2117
Cerdido,España,43.62384,-7.994961
L'Isle-d'Abeau,Francia,45.6230017,5.2298398
Castrillo de Cabrera,España,42.34034,-6.544417
Bahabón de Esgueva,España,41.86199,-3.729234
Martiago,España,40.45242,-6.490011
Le Pailly,Francia,47.7914501,5.414816
Borsbeek,Belgium,51.1928,4.4889
Le Brusquet,Francia,44.1610416,6.3075829
Saint-Bauzille-de-Montmel,Francia,43.7707441,3.9570777
Saint-Julien-du-Verdon,Francia,43.9141856,6.54233
Marchagaz,España,40.26732,-6.275044
Gondecourt,Francia,50.5432418,2.9830581
Villaverde de Medina,España,41.30785,-5.025022
Villalmanzo,España,42.04841,-3.741645
Castellcir,España,41.76043,2.148678
Maastricht,Netherlands,50.8667,5.6833
Bárcena de Campos,España,42.4837,-4.498671
Peñaranda de Bracamonte,España,40.90394,-5.202896
Puy-l'Évêque,Francia,44.516,1.13941
Nazelles-Négron,Francia,47.4319865,0.953293
Daillens,Suiza,46.6202897,6.5487115
Juncosa,España,41.37148,0.7753397
Guidonia Montecelio,Italia,41.9842734,12.6953191
Taverny,France,49.0264,2.2275
Ledanca,España,40.86851,-2.843731
Obanos,España,42.67956,-1.785792
Haaren,Netherlands,51.6017,5.2228
Civrac-sur-Dordogne,Francia,44.8304142,-0.0815023
Busloup,Francia,47.8938209,1.1310847
Middelburg,South Africa,-25.7684,29.4783
Villiers-le-Bel,France,49.0094,2.3911
Sant Ferriol,España,42.20639,2.661678
Brides-les-Bains,Francia,45.4525213,6.5667816
Marssac-sur-Tarn,Francia,43.9176823,2.0293467
Bourg-des-Comptes,Francia,47.9298273,-1.7388742
Montchanin,Francia,46.747427,4.4699684
Sost,Francia,42.9279671,0.5576773
Larraga,España,42.55874,-1.848682
Trausse,Francia,43.3128202,2.5621842
Azagra,España,42.30789,-1.894474
Wald-Michelbach,Germany,49.5724,8.8243
Cavalaire-sur-Mer,France,43.1711,6.5292
Aldea de San Miguel,España,41.45976,-4.614833
Barbadillo del Mercado,España,42.03931,-3.358344
Higuera de las Dueñas,España,40.23775,-4.601235
Donzdorf,Germany,48.6833,9.8167
Saint-Pierre-d'Eyraud,Francia,44.8491667,0.3194444
Azat-le-Ris,Francia,46.3192888,1.0604471
Báscones de Ojeda,España,42.67077,-4.527061
